DEPT,COURSE,CREDITS,COURSE TITLE,COMPONENT,TIME-START,DAYS,ROOM,INSTRUCTOR,MAX-ENRLNT
ACCT,3220,3,Corp Financial Rprtng 1,LEC,8:00 AM,TTH,KOBL 255,"Pringle,Lynn Merle",42
ACCT,3220,3,Corp Financial Rprtng 1,LEC,9:30 AM,MW,KOBL 230,"Zechman,Sarah LC",42
ACCT,3220,3,Corp Financial Rprtng 1,LEC,2:00 PM,MW,KOBL 230,"Zechman,Sarah LC",42
ACCT,3220,3,Corp Financial Rprtng 1,LEC,3:30 PM,MW,KOBL 230,"Zechman,Sarah LC",42
ACCT,3220,3,Corp Financial Rprtng 1,LEC,11:00 AM,TTH,KOBL S127,"Pringle,Lynn Merle",49
ACCT,3220,3,Corp Financial Rprtng 1,LEC,12:30 PM,TTH,KOBL S127,"Pringle,Lynn Merle",49
ACCT,3230,3,Corp Financial Rprtng II,LEC,2:00 PM,MW,KOBL S127,"Rock,Steven Karl",60
ACCT,3320,3,Cost Management,LEC,2:00 PM,MW,KOBL 102,"Pringle,Lynn Merle",44
ACCT,3320,3,Cost Management,LEC,3:30 PM,MW,KOBL 102,"Pringle,Lynn Merle",44
ACCT,3440,3,Income Taxation of Individuals,LEC,11:00 AM,MW,KOBL 230,"Morley,Susan",40
ACCT,3440,3,Income Taxation of Individuals,LEC,12:30 PM,MW,KOBL 230,"Morley,Susan",40
ACCT,4240,3,Advanced Financial Acct,LEC,8:00 AM,TTH,KOBL 220,"Johnston,Randy Donal",20
ACCT,4240,3,Advanced Financial Acct,LEC,9:30 AM - 10:45 AM,TTH,KOBL 220,"Johnston,Randy Donal",20
ACCT,4250,3,Financial Stmnt Analysis,LEC,3:30 PM,MW,KOBL 235,"Nondorf,Maria Elizabet",25
ACCT,4540,3,Acct Information Systems,LEC,6:30 PM,M,KOBL 320,"Marlatt,James Raymon",20
ACCT,4620,3,Auditing/Assurance Svcs,LEC,2:00 PM,MW,KOBL 220,"Frederick,David",33
ACCT,4620,3,Auditing/Assurance Svcs,LEC,3:30 PM,MW,KOBL 220,"Frederick,David",33
ACCT,4820,3,Topics in Business,LEC,6:00 PM,T,KOBL 235,"Giehl,Alan Joseph",15
ACCT,4827,3,Integrated Report for Soc Resp,LEC,2:00 PM,TTH,KOBL 375,"Milburn,Catherine C",13
ACCT,4850,3,SR Seminar - Accounting Ethics,SEM,9:30 AM - 10:45 AM,MW,KOBL 300,"Johnston,Randy Donal",50
ACCT,5240,3,Advanced Financial Accounting,LEC,8:00 AM,TTH,KOBL 220,"Johnston,Randy Donal",10
ACCT,5240,3,Advanced Financial Accounting,LEC,9:30 AM,TTH,KOBL 220,"Johnston,Randy Donal",10
ACCT,5250,3,Financial Stmnt Analysis,LEC,3:30 PM,MW,KOBL 235,"Nondorf,Maria Elizabet",15
ACCT,5540,3,Accounting Information Systems,LEC,6:30 PM,M,KOBL 320,"Marlatt,James Raymon",20
ACCT,5620,3,Auditing/Assurance Svcs,LEC,2:00 PM,MW,KOBL 220,"Frederick,David",8
ACCT,5620,3,Auditing/Assurance Svcs,LEC,3:30 PM,MW,KOBL 220,"Frederick,David",8
ACCT,5700,3,International Accounting,LEC,12:30 PM - 1:45 PM,TTH,KOBL 308,"Jagolinzer,Alan",25
ACCT,5700,3,International Accounting,LEC,2:00 PM,TTH,KOBL 308,"Jagolinzer,Alan",25
ACCT,5820,3,Topics in Business,LEC,6:00 PM,T,KOBL 235,"Giehl,Alan Joseph",17
ACCT,5827,3,Integrated Report for Soc Resp,LEC,2:00 PM,TTH,KOBL 375,"Milburn,Catherine C",13
ACCT,6420,3,Res Wrtg/Income Taxation,LEC,6:20 PM,T,KOBL 230,"Morley,Susan",25
ACCT,6430,3,Taxation of Partnerships,LEC,4:15 PM,TTH,WLAW 206,"Hasen,David M",30
ACCT,6450,3,Tax of Corporations,LEC,10:30 AM,MW,WLAW 306,"Gazur,Wayne Michael",14
ACCT,6700,4,Income Taxation,LEC,1:00 PM,MW,WLAW 207,"Speck,Sloan G",15
ACCT,7830,3,Doc Sem: Accounting Research,SEM,9:00 AM - 11:00 AM,,SEE DEPT,"Rogers,Jonathan Lawr",10
AIRR,1010,1,Foundations of USAF I,LEC,2:00 PM - 2:50 PM,W,STAD 135,"Johanson,Luke Einar",45
AIRR,1010,1,Foundations of USAF I,LEC,11:00 AM - 11:50 AM,TH,STAD 112,"Johanson,Luke Einar",45
AIRR,1010,1,Foundations of USAF I,LAB,3:30 PM - 6:50 PM,TH,DUAN G1B30,,45
AIRR,1010,1,Foundations of USAF I,LEC,2:00 PM,TH,ECCR 245,"Johanson,Luke Einar",45
AIRR,1010,1,Foundations of USAF I,LAB,3:30 PM,TH,DUAN G1B30,"Hale,Bobby L",45
AIRR,1010,1,Foundations of USAF I,LAB,3:30 PM,TH,DUAN G1B30,"Braun,Joel D",45
AIRR,2010,1,Evl USAF Air/Space Pwr 1,LEC,3:00 PM,W,STAD 112,"Hale,Bobby L",25
AIRR,2010,1,Evl USAF Air/Space Pwr 1,LEC,3:00 PM,W,STAD 112,"Cacic,John D",25
AIRR,2010,1,Evl USAF Air/Space Pwr 1,LEC,12:30 PM,TH,STAD 112,"Hale,Bobby L",37
AIRR,2010,1,Evl USAF Air/Space Pwr 1,LEC,12:30 PM,TH,STAD 112,"Cacic,John D",37
AIRR,2010,1,Evl USAF Air/Space Pwr 1,LAB,3:30 PM,TH,DUAN G1B30,,30
AIRR,2010,1,Evl USAF Air/Space Pwr 1,LEC,2:00 PM,TH,STAD 112,"Cacic,John D",25
AIRR,2010,1,Evl USAF Air/Space Pwr 1,LEC,2:00 PM,TH,STAD 112,"Hale,Bobby L",25
AIRR,2010,1,Evl USAF Air/Space Pwr 1,LAB,3:30 PM,TH,DUAN G1B30,,30
AIRR,3010,3,Air Force Leaderships Stds I,LEC,9:30 AM,TTH,DUAN G2B21,"Braun,Joel D",30
AIRR,3010,3,Air Force Leaderships Stds I,LAB,3:30 PM,TH,DUAN G1B30,,30
AIRR,3010,3,Air Force Leaderships Stds I,LEC,2:00 PM - 3:15 PM,TTH,STAD 135,"Braun,Joel D",30
AIRR,3010,3,Air Force Leaderships Stds I,LAB,3:30 PM,TH,DUAN G1B30,,30
AIRR,4010,3,Natl Sec Affrs/Prep Duty,LEC,11:00 AM,TTH,STAD 135,"Cairney,John T",25
AIRR,4010,3,Natl Sec Affrs/Prep Duty,LEC,11:00 AM,TTH,STAD 135,"Pritchett,Sarah C",25
AIRR,4010,3,Natl Sec Affrs/Prep Duty,LAB,3:30 PM - 6:50 PM,TH,DUAN G1B30,,50
AIRR,4010,3,Natl Sec Affrs/Prep Duty,LEC,2:00 PM - 3:15 PM,TTH,STAD 140,"Cairney,John T",25
AIRR,4010,3,Natl Sec Affrs/Prep Duty,LEC,2:00 PM - 3:15 PM,TTH,STAD 140,"Pritchett,Sarah C",25
AIRR,4010,3,Natl Sec Affrs/Prep Duty,LAB,3:30 PM - 6:50 PM,TH,"DUAN G1B30 Thompson,Bradley P",,50
AIRR,4010,3,Natl Sec Affrs/Prep Duty,LEC,2:00 PM - 3:15 PM,TTH,STAD 140,"Cairney,John T",25
AIRR,4010,3,Natl Sec Affrs/Prep Duty,LEC,2:00 PM - 3:15 PM,TTH,STAD 140,"Pritchett,Sarah C",25
AIRR,4010,3,Natl Sec Affrs/Prep Duty,LAB,3:30 PM - 6:50 PM,TH,"DUAN G1B30 Thompson,Bradley P",,50
ANTH,1115,3,Caribbean/Post Colonial,LEC,11:00 AM,MWF,VAC 1B20,"Roland,Lorecia Kaifa-Al",150
ANTH,1135,3,Exploring Non-Wstrn Cult: TBA,LEC,4:30 PM,MW,HALE 260,"Goldfarb,Kathryn",40
ANTH,1135,3,Exploring Non-Wstrn Cult: TBA,LEC,10:00 AM,MWF,DUAN G131,"Jacka,Jerry Keith",40
ANTH,1135,3,Exploring Non-Wstrn Cult: TBA,LEC,2:00 PM,MW,MCOL W100,"Gutierrez,Gerardo",150
ANTH,1140,3,Expl/Nonwest Cult/Maya,LEC,8:00 AM,MW,HALE 270,"Sheets,Payson Daniel",150
ANTH,1140,3,Expl/Nonwest Cult/Maya,REC,11:00 AM,F,MUEN E131,"Sheets,Payson Daniel",25
ANTH,1140,3,Expl/Nonwest Cult/Maya,REC,9:00 AM,F,MUEN E130,"Sheets,Payson Daniel",25
ANTH,1140,3,Expl/Nonwest Cult/Maya,REC,9:00 AM,W,MUEN E130,"Sheets,Payson Daniel",25
ANTH,1140,3,Expl/Nonwest Cult/Maya,REC,11:00 AM,W,CHEM 145,"Sheets,Payson Daniel",25
ANTH,1140,3,Expl/Nonwest Cult/Maya,REC,4:00 PM,TH,CLRE 301,"Sheets,Payson Daniel",25
ANTH,1140,3,Expl/Nonwest Cult/Maya,REC,5:00 PM,TH,HALE 236,"Sheets,Payson Daniel",25
ANTH,1170,3,"Culture, Gender, Film",LEC,10:00 AM,MWF,VAC 1B20,"Hammons,Christian St",150
ANTH,1170,3,"Culture, Gender, Film",LEC,9:30 AM - 10:45 AM,TTH,CHEM 142,"Hammons,Christian St",150
ANTH,1170,3,"Culture, Gender, Film",LEC,1:00 PM,MWF,LIBY 103,"Robinson,Janet Schwa",19
ANTH,1190,3,Origins of Ancient Civilizatns,LEC,2:00 PM,MW,HUMN 1B50,"Joyce,Arthur A",250
ANTH,2010,3,Intro to Phys Anthropology 1,LEC,10:00 AM,MWF,HALE 270,"Sponheimer,Matthew J",188
ANTH,2010,3,Intro to Phys Anthropology 1,LEC,1:00 PM,MWF,HALE 270,"Sponheimer,Matthew J",188
